ID,quiet,steady,changing,testing,sample,finalAudioCheck,help_person,external_help,aloud_rehearsal,sound_off,unplug_hp,external_distraction,device_used,audio_device,response_device,motivation,concentration,location_time,switch_screen,technical_issue,hearing,cse,sse,ise
hcpib3mqkfse6pa6,0.75625,0.70625,0.7,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,highest,16:56 pm,FALSE,FALSE,NA,0.006250000000000089,0.04999999999999993,0.05625000000000002
hcpib3mqkfse7inu,0.63125,0.76875,0.55625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,4:52PM,FALSE,FALSE,N/\A,0.21250000000000002,-0.13750000000000007,0.07499999999999996
hcpib3mqkfse7jkj,0.73125,0.8375,0.6875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,highest,4:59pm,FALSE,FALSE,N\A,0.15000000000000002,-0.10625000000000007,0.043749999999999956
hcpib3mqkfse7jh1,0.9625,0.94375,0.975,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,In-ear,Mouse,highest,highest,pm,FALSE,FALSE,NA,-0.03125,0.018750000000000044,-0.012499999999999956
hcpib3mqkfse6vlq,0.74375,0.5875,0.575,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Mouse,high,high,16:46 pm,FALSE,FALSE,NA,0.012500000000000067,0.15625,0.16875000000000007
hcpib3mqkfse72n0,0.60625,0.71875,0.64375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,average,average,5.04pm,FALSE,FALSE,No hearing loss,0.07499999999999996,-0.11250000000000004,-0.03750000000000009
hcpib3mqkfse7hv0,0.85,0.775,0.75,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,4:45pm,FALSE,FALSE,NA,0.025000000000000022,0.07499999999999996,0.09999999999999998
hcpib3mqkfse7jnb,0.8875,0.63125,0.69375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,high,16:47pm,FALSE,FALSE,NA,-0.0625,0.25625,0.19374999999999998
hcpib3mqkfse7thg,0.8625,0.7625,0.64375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,On-ear,Trackpad,high,highest,5:06 pm,FALSE,FALSE,NA,0.11874999999999991,0.10000000000000009,0.21875
hcpib3mqkfseem3z,0.9125,0.875,0.88125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Touchscreen,highest,highest,5:44pm,FALSE,FALSE,NA,-0.006249999999999978,0.03749999999999998,0.03125
hcpib3mqkfzk6cx7,0.8625,0.9125,0.76875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,highest,highest,17.02 pm,FALSE,FALSE,NA,0.14374999999999993,-0.04999999999999993,0.09375
hcpib3mqkfzkir1k,0.875,0.9625,0.95,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Mouse,high,high,5:15pm,FALSE,FALSE,NA,0.012500000000000067,-0.08750000000000002,-0.07499999999999996
hcpib3mqkfzl0bfv,0.85625,0.83125,0.68125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,5.35pm,FALSE,FALSE,NA,0.15000000000000002,0.02499999999999991,0.17499999999999993
hcpib969kgceqsvw,0.6375,0.49375,0.58125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,5pm,FALSE,FALSE,NA,-0.08750000000000002,0.14374999999999993,0.05624999999999991
hcpib969kgcepjpc,0.7375,0.79375,0.775,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,highest,highest,16:52,FALSE,FALSE,NA,0.018749999999999933,-0.05624999999999991,-0.03749999999999998
hcpib969kgcezgf2,0.7125,0.7375,0.6625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,highest,highest,17:01pm,FALSE,FALSE,n/a,0.07500000000000007,-0.025000000000000022,0.050000000000000044
hcpib969kgceu7iu,0.75,0.625,0.64375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,5.10pm,FALSE,FALSE,NA,-0.018750000000000044,0.125,0.10624999999999996
hcpib969kgceo4bw,0.6,0.525,0.5875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,high,high,4:49pm,FALSE,FALSE,N/A,-0.0625,0.07499999999999996,0.012499999999999956
hcpib969kgcfqs3i,0.84375,0.89375,0.84375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Mouse,high,highest,5.31 pm,FALSE,FALSE,NA,0.050000000000000044,-0.050000000000000044,0
hcpib969kgcfvp90,0.93125,0.9125,0.925,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,highest,highest,5:35PM,FALSE,FALSE,NA,-0.012500000000000067,0.018750000000000044,0.006249999999999978
hcpibaejkggg6c4x,0.925,0.8875,0.85625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,On-ear,Trackpad,high,high,pm,FALSE,FALSE,NA,0.03125,0.03750000000000009,0.06875000000000009
hcpibaejkggg4z4j,0.85,0.73125,0.80625,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,Over-ear,Mouse,highest,highest,1:02 pm,FALSE,FALSE,NA,-0.07500000000000007,0.11875000000000002,0.043749999999999956
hcpibaejkggg48g2,0.70625,0.46875,0.56875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,In-ear,Mouse,high,highest,12.38PM,FALSE,FALSE,NA,-0.09999999999999998,0.23750000000000004,0.13750000000000007
hcpibaejkggg8v0q,0.6,0.61875,0.68125,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,high,high,12.52pm,FALSE,FALSE,NA,-0.0625,-0.018750000000000044,-0.08125000000000004
hcpibaejkgggbgev,0.83125,0.7125,0.6375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Desktop,On-ear,Mouse,high,high,12:54 pm,FALSE,FALSE,NA,0.07500000000000007,0.11875000000000002,0.1937500000000001
hcpibaejkggg4mtz,0.675,0.6375,0.59375,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,In-ear,Trackpad,high,high,12:54pm,FALSE,FALSE,NA,0.043749999999999956,0.03750000000000009,0.08125000000000004
hcpibaejkgggj663,0.61875,0.5,0.4875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,Over-ear,Trackpad,average,high,12:55 pm,FALSE,FALSE,NA,0.012500000000000011,0.11875000000000002,0.13125000000000003
hcpibaejkgggpkx3,0.925,0.875,0.8875,Online,Prolific,correct,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Laptop,On-ear,Trackpad,high,highest,12.56pm,FALSE,FALSE,NA,-0.012499999999999956,0.050000000000000044,0.03750000000000009
